Method,Path,Delegated Permissions,App Permissions,Owner,In v1.0,Has Granular Permissions,v1.0 + granular,Doc link
DELETE,/users/{id}/onlineMeetings/{id}/registration/registrants/{id},OnlineMeetings.ReadWrite,OnlineMeetings.Read.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/meetingregistrant-delete?view=graph-rest-beta
DELETE,/users/{id}/onlineMeetings/{id}/registration/registrants/{registrantId},OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/externalmeetingregistrant-delete?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings/{onlineMeetingId}/virtualAppointment,OnlineMeetings.ReadWrite  OnlineMeetings.Read,Not supported,IC3,False,True,False,https://docs.microsoft.com/graph/api/virtualappointment-get?view=graph-rest-beta
PATCH ,/users/{id}/onlineMeetings/{onlineMeetingId}/virtualAppointment,OnlineMeetings.ReadWrite,Not supported,IC3,False,True,False,https://docs.microsoft.com/graph/api/virtualappointment-update?view=graph-rest-beta
PUT   ,/users/{id}/onlineMeetings/{onlineMeetingId}/virtualAppointment,OnlineMeetings.ReadWrite,Not supported,IC3,False,True,False,https://docs.microsoft.com/graph/api/virtualappointment-put?view=graph-rest-beta
DELETE,/users/{id}/onlineMeetings/{onlineMeetingId}/virtualAppointment,OnlineMeetings.ReadWrite,Not supported,IC3,False,True,False,https://docs.microsoft.com/graph/api/virtualappointment-delete?view=graph-rest-beta
POST  ,/users/{id}/onlineMeetings/createOrGet,OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/onlinemeeting-createorget?view=graph-rest-beta
GET   ,/users/{id}/presence,Presence.Read  Presence.Read.All,Not Supported,IC3,True,True,True,https://docs.microsoft.com/graph/api/presence-get?view=graph-rest-beta
POST  ,/users/{id}/presence/clearPresence,Presence.ReadWrite,Presence.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/presence-clearpresence?view=graph-rest-beta
POST  ,/users/{id}/presence/clearUserPreferredPresence,Presence.ReadWrite,Presence.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/presence-clearuserpreferredpresence?view=graph-rest-beta
POST  ,/users/{id}/presence/setPresence,Presence.ReadWrite,Presence.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/presence-setpresence?view=graph-rest-beta
POST  ,/users/{id}/presence/setUserPreferredPresence,Presence.ReadWrite,Presence.ReadWrite.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/presence-setuserpreferredpresence?view=graph-rest-beta
GET   ,/users/{id}/teamwork/associatedTeams,Team.ReadBasic.All  TeamSettings.Read.All  TeamSettings.ReadWrite.All,Team.ReadBasic.All  TeamSettings.Read.All  TeamSettings.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/associatedteaminfo-list?view=graph-rest-beta
GET   ,/users/{id | user-principal-name}/chats/getAllMessages?model=A,Not supported,Chat.Read.All  Chat.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chats-getallmessages?view=graph-rest-beta
GET   ,/users/{id | user-principal-name}/chats/getAllMessages?model=B,Not supported,Chat.Read.All  Chat.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chats-getallmessages?view=graph-rest-beta
GET   ,/users/{id | user-principal-name}/chats/getAllMessages,Not supported,Chat.Read.All  Chat.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chats-getallmessages?view=graph-rest-beta
GET   ,/users/{id | user-principal-name}/joinedTeams,Team.ReadBasic.All  TeamSettings.Read.All  TeamSettings.ReadWrite.All  User.Read.All  User.ReadWrite.All  Directory.Read.All  Directory.ReadWrite.All,Team.ReadBasic.All  TeamSettings.Read.All  TeamSettings.ReadWrite.All  User.Read.All  User.ReadWrite.All  Directory.Read.All  Directory.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/user-list-joinedteams?view=graph-rest-beta
